Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1961","1961","An","172941542","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1962","1962","An","184291677","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1963","1963","An","193869838","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1964","1964","An","191768897","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1965","1965","An","191603596","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1966","1966","An","196721238","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1967","1967","An","204646684","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1968","1968","An","211048784","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1969","1969","An","211674513","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1970","1970","An","210489844","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1971","1971","An","204347570","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1972","1972","An","203945936","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1973","1973","An","203867888","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1974","1974","An","216913183","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1975","1975","An","232884732","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1976","1976","An","243425742","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1977","1977","An","243947176","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1978","1978","An","245387215","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1979","1979","An","237239600","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1980","1980","An","235205573","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1981","1981","An","237345205","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1982","1982","An","238772599","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1983","1983","An","240866111","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1984","1984","An","246682858","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1985","1985","An","247193299","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1986","1986","An","253847359","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1987","1987","An","250974833","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1988","1988","An","250029202","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1989","1989","An","250347063","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1990","1990","An","254755276","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1991","1991","An","246611178","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1992","1992","An","245114561","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1993","1993","An","244940169","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","1994","1994","An","248356858","E","Estimated value",""
