Category: All categories

Month,vegan: (Worldwide)
2004-01,12
2004-02,12
2004-03,12
2004-04,11
2004-05,10
2004-06,10
2004-07,12
2004-08,12
2004-09,12
2004-10,12
2004-11,13
2004-12,13
2005-01,12
2005-02,11
2005-03,11
2005-04,10
2005-05,11
2005-06,11
2005-07,10
2005-08,11
2005-09,10
2005-10,11
2005-11,14
2005-12,12
2006-01,11
2006-02,11
2006-03,12
2006-04,11
2006-05,11
2006-06,11
2006-07,13
2006-08,13
2006-09,11
2006-10,12
2006-11,13
2006-12,13
2007-01,12
2007-02,12
2007-03,12
2007-04,12
2007-05,14
2007-06,12
2007-07,12
2007-08,12
2007-09,13
2007-10,13
2007-11,15
2007-12,14
2008-01,14
2008-02,14
2008-03,14
2008-04,13
2008-05,13
2008-06,13
2008-07,14
2008-08,14
2008-09,13
2008-10,13
2008-11,15
2008-12,15
2009-01,14
2009-02,14
2009-03,13
2009-04,14
2009-05,13
2009-06,13
2009-07,13
2009-08,14
2009-09,14
2009-10,14
2009-11,16
2009-12,16
2010-01,15
2010-02,15
2010-03,15
2010-04,14
2010-05,14
2010-06,14
2010-07,15
2010-08,16
2010-09,16
2010-10,16
2010-11,18
2010-12,17
2011-01,17
2011-02,18
2011-03,19
2011-04,20
2011-05,17
2011-06,18
2011-07,18
2011-08,19
2011-09,20
2011-10,20
2011-11,22
2011-12,21
2012-01,22
2012-02,22
2012-03,22
2012-04,22
2012-05,21
2012-06,23
2012-07,24
2012-08,23
2012-09,24
2012-10,23
2012-11,24
2012-12,25
2013-01,28
2013-02,27
2013-03,26
2013-04,26
2013-05,25
2013-06,25
2013-07,26
2013-08,27
2013-09,26
2013-10,27
2013-11,29
2013-12,30
2014-01,33
2014-02,30
2014-03,32
2014-04,32
2014-05,30
2014-06,29
2014-07,30
2014-08,30
2014-09,29
2014-10,29
2014-11,32
2014-12,32
2015-01,33
2015-02,32
2015-03,32
2015-04,33
2015-05,33
2015-06,35
2015-07,36
2015-08,36
2015-09,36
2015-10,39
2015-11,42
2015-12,42
2016-01,47
2016-02,48
2016-03,48
2016-04,48
2016-05,51
2016-06,50
2016-07,49
2016-08,47
2016-09,48
2016-10,49
2016-11,57
2016-12,70
2017-01,54
2017-02,51
2017-03,56
2017-04,53
2017-05,50
2017-06,55
2017-07,76
2017-08,77
2017-09,69
2017-10,71
2017-11,72
2017-12,76
2018-01,80
2018-02,75
2018-03,73
2018-04,71
2018-05,67
2018-06,66
2018-07,67
2018-08,67
2018-09,66
2018-10,67
2018-11,73
2018-12,73
2019-01,78
2019-02,75
2019-03,70
2019-04,70
2019-05,65
2019-06,75
2019-07,66
2019-08,70
2019-09,77
2019-10,77
2019-11,98
2019-12,94
2020-01,100
2020-02,87
2020-03,67
2020-04,75
2020-05,74
2020-06,71
2020-07,74
2020-08,78
2020-09,76
2020-10,72
2020-11,67
2020-12,73
2021-01,73
2021-02,73
2021-03,64
2021-04,69
2021-05,66
2021-06,66
2021-07,67
2021-08,66
2021-09,61
2021-10,66
2021-11,63
2021-12,70
2022-01,74
2022-02,65
2022-03,67
2022-04,66
2022-05,60
2022-06,61
2022-07,57
2022-08,54
2022-09,57
2022-10,56
2022-11,56
2022-12,64
2023-01,59
2023-02,54
2023-03,55
2023-04,55
2023-05,49
2023-06,51
2023-07,54
2023-08,52
2023-09,50
2023-10,49
2023-11,52
2023-12,58
2024-01,59
2024-02,54
2024-03,54
2024-04,49
2024-05,48
2024-06,47
2024-07,47
2024-08,48
2024-09,45
2024-10,46
2024-11,50
2024-12,55
2025-01,48
2025-02,46
2025-03,49
2025-04,47
2025-05,45
2025-06,45
2025-07,47
2025-08,57
2025-09,52
2025-10,53
2025-11,51
